biome1,biome2,biome3,accession,experiment_type,platform,model
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182860,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182866,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182869,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182870,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182872,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182859,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182862,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182857,metagenomic,ILLUMINA,NextSeq 500
Engineered,Engineered:Lab Synthesis,Engineered:Lab Synthesis:Genetic cross,SRR975537,metagenomic,ILLUMINA,Illumina HiScanSQ
Engineered,Engineered:Lab Synthesis,Engineered:Lab Synthesis:Genetic cross,SRR975540,metagenomic,ILLUMINA,Illumina HiScanSQ
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094164,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094165,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094166,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094167,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094168,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094169,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094170,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094171,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094172,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094173,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094174,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094175,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture,ERR2094176,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988368,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988367,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988364,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988363,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988362,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988361,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988358,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988356,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988353,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988350,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988347,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988346,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988343,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988341,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988338,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988333,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988331,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988329,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988328,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988324,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988320,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988312,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988310,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988304,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988301,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988298,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988293,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988290,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988289,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988285,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988612,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988610,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988609,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988608,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988607,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988606,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988603,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988602,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988595,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988593,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988590,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988586,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988582,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988577,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988570,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988568,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988563,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988555,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988554,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988551,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988536,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988535,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989424,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989418,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989410,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989408,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989398,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989395,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989393,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989388,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989386,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989374,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989373,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989366,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989365,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989360,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989354,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989353,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989349,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3989348,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988457,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988445,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988407,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988405,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988403,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988376,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Lentic,SRR3988374,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420322,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420308,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420307,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420323,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420316,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420309,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420325,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420318,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420311,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420320,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Human,Host-associated:Human:Circulatory system,SRR4420319,metagenomic,ILLUMINA,Illumina MiSeq
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR2696810,metagenomic,ILLUMINA,unspecified
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR2696812,metagenomic,ILLUMINA,unspecified
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR2696814,metagenomic,ILLUMINA,unspecified
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738544,metagenomic,ILLUMINA,Illumina HiSeq 2000
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738545,metagenomic,ILLUMINA,Illumina HiSeq 2000
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738546,metagenomic,ILLUMINA,Illumina HiSeq 2000
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738547,metagenomic,ILLUMINA,Illumina HiSeq 2000
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738548,metagenomic,ILLUMINA,Illumina HiSeq 2000
Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture),ERR738549,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404431,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404432,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404430,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404428,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404429,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR4404427,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR6459199,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR6459198,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR6459197,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5468194,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808834,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808833,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808832,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808831,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808830,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808829,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808828,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808827,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808826,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808824,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808823,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808822,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808821,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808820,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808817,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808814,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808813,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808811,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808812,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808810,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808809,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808808,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808807,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808806,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5808805,metagenomic,ILLUMINA,HiSeq X Ten
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,SRR5468193,metagenomic,ILLUMINA,Illumina HiSeq 2500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary,ERR2730831,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,SRR15691272,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR9456920,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR9456921,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR6043686,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR6614656,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683609,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683626,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683632,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683644,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683612,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683619,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683637,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683643,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683606,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683618,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683621,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683628,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683636,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683608,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683613,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683623,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683633,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683641,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683605,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683607,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683610,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683611,metagenomic,ILLUMINA,Illumina MiSeq
Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline,ERR2683614,metagenomic,ILLUMINA,Illumina MiSeq
