query,p_genome,avg_abund,p_metag,metagenome name,accession,biome2
bosTau9.fa.gz,0.20%,1.9,0.10%,ERR4398745,ERR4398745,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10527384,SRR10527384,Host-associated:Plants
bosTau9.fa.gz,0.80%,2.2,0.30%,ERR4398794,ERR4398794,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR2696814,ERR2696814,Engineered:Modeled
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR2241881,ERR2241881,Host-associated:Animal
bosTau9.fa.gz,0.00%,608.9,1.70%,ERR599277,ERR599277,Environmental:Aquatic
bosTau9.fa.gz,0.00%,15.0,0.00%,SRR3017104,SRR3017104,Engineered:Food production
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR6519254,SRR6519254,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR1467148,ERR1467148,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3989360,SRR3989360,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2241779,ERR2241779,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2607416,ERR2607416,Engineered:Wastewater
bosTau9.fa.gz,0.00%,3.1,0.00%,ERR5866866,ERR5866866,Environmental:Terrestrial
bosTau9.fa.gz,0.00%,12.3,0.60%,ERR1868854,ERR1868854,Host-associated:Fish
bosTau9.fa.gz,0.00%,2.1,0.00%,ERR2245482,ERR2245482,Host-associated:Animal
bosTau9.fa.gz,0.00%,10.0,0.00%,SRR10914160,SRR10914160,Host-associated:Insecta
bosTau9.fa.gz,0.00%,2.0,0.00%,ERR5083272,ERR5083272,Host-associated:Human
bosTau9.fa.gz,0.10%,2.0,0.30%,SRR6216758,SRR6216758,Host-associated:Human
bosTau9.fa.gz,0.00%,3.3,0.20%,SRR16350227,SRR16350227,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR2607418,ERR2607418,Engineered:Wastewater
bosTau9.fa.gz,0.00%,26.4,0.10%,ERR4869744,ERR4869744,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2607450,ERR2607450,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR3219773,ERR3219773,Environmental:Terrestrial
bosTau9.fa.gz,0.00%,16.6,0.00%,ERR2241687,ERR2241687,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2607464,ERR2607464,Engineered:Wastewater
bosTau9.fa.gz,0.00%,9.1,0.00%,SRR9219376,SRR9219376,Host-associated:Invertebrates
bosTau9.fa.gz,0.10%,1.9,0.00%,ERR2241724,ERR2241724,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR7664985,SRR7664985,Host-associated:Mammals
bosTau9.fa.gz,0.00%,16.3,0.00%,SRR5788051,SRR5788051,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR2597421,ERR2597421,Host-associated:Mammals
bosTau9.fa.gz,0.20%,5.3,0.40%,SRR6757641,SRR6757641,Host-associated:Human
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2135449,ERR2135449,Engineered:Food production
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2597514,ERR2597514,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR7664988,SRR7664988,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10810029,SRR10810029,Host-associated:Insecta
bosTau9.fa.gz,0.00%,9.2,0.20%,ERR1868846,ERR1868846,Host-associated:Fish
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2808649,ERR2808649,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR3188780,SRR3188780,Host-associated:Human
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR7403892,SRR7403892,Host-associated:Human
bosTau9.fa.gz,0.00%,1.6,0.10%,SRR6514678,SRR6514678,Engineered:Food production
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5808831,SRR5808831,Environmental:Aquatic
bosTau9.fa.gz,0.00%,3.9,0.00%,SRR9109406,SRR9109406,Host-associated:Fish
bosTau9.fa.gz,0.00%,8.6,0.00%,SRR17188293,SRR17188293,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR7665009,SRR7665009,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR11267049,SRR11267049,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR18079830,SRR18079830,Host-associated:Insecta
bosTau9.fa.gz,0.00%,8.3,0.00%,SRR1917151,SRR1917151,Engineered:Lab enrichment
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR589817,ERR589817,Host-associated:Human
bosTau9.fa.gz,0.00%,15.0,0.10%,SRR7468287,SRR7468287,Environmental:Aquatic
bosTau9.fa.gz,0.10%,4.5,0.10%,SRR15604629,SRR15604629,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.2,0.00%,SRR10527389,SRR10527389,Host-associated:Plants
bosTau9.fa.gz,0.00%,2.1,0.00%,SRR18825464,SRR18825464,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR15604625,SRR15604625,Host-associated:Mammals
bosTau9.fa.gz,0.10%,1.9,0.00%,ERR4398761,ERR4398761,Host-associated:Animal
bosTau9.fa.gz,0.00%,4.0,0.00%,SRR4069403,SRR4069403,Environmental:Aquatic
bosTau9.fa.gz,0.00%,7.5,0.10%,SRR1873833,SRR1873833,Engineered:Food production
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR5382244,SRR5382244,Host-associated:Mammals
bosTau9.fa.gz,0.00%,3.3,0.00%,ERR2241860,ERR2241860,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR12272154,SRR12272154,Host-associated:Mammals
bosTau9.fa.gz,0.00%,16.0,0.10%,DRR019499,DRR019499,Host-associated:Insecta
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR19715298,SRR19715298,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR6514687,SRR6514687,Engineered:Food production
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR414265,ERR414265,Host-associated:Human
bosTau9.fa.gz,0.10%,6.5,0.20%,SRR1873853,SRR1873853,Engineered:Food production
bosTau9.fa.gz,0.00%,7.1,0.00%,SRR17188284,SRR17188284,Host-associated:Insecta
bosTau9.fa.gz,0.00%,7.2,0.00%,SRR4420322,SRR4420322,Host-associated:Human
bosTau9.fa.gz,0.00%,2.8,0.00%,SRR14629574,SRR14629574,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.0,0.00%,ERR1525441,ERR1525441,Engineered:Wastewater
bosTau9.fa.gz,0.00%,4.9,0.00%,ERR2144869,ERR2144869,Host-associated:Plants
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR2047830,SRR2047830,Host-associated:Human
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR6311222,SRR6311222,Environmental:Aquatic
bosTau9.fa.gz,0.00%,26.8,0.00%,ERR2241692,ERR2241692,Host-associated:Animal
bosTau9.fa.gz,0.00%,15.0,0.00%,SRR12181008,SRR12181008,Host-associated:Insecta
bosTau9.fa.gz,0.00%,3.8,0.00%,SRR15604477,SRR15604477,Host-associated:Mammals
bosTau9.fa.gz,0.00%,4.0,0.00%,SRR5808811,SRR5808811,Environmental:Aquatic
bosTau9.fa.gz,0.20%,12.9,0.40%,SRR18439529,SRR18439529,Host-associated:Mammals
bosTau9.fa.gz,0.00%,76.8,0.30%,ERR4869826,ERR4869826,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1631246,SRR1631246,Host-associated:Human
bosTau9.fa.gz,0.00%,5.1,0.20%,SRR13753928,SRR13753928,Host-associated:Mammals
bosTau9.fa.gz,0.10%,2.2,0.10%,ERR4398785,ERR4398785,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR1869526,ERR1869526,Engineered:Food production
bosTau9.fa.gz,0.00%,3.0,0.00%,SRR6323418,SRR6323418,Host-associated:Birds
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3184891,SRR3184891,Host-associated:Human
bosTau9.fa.gz,0.00%,2.8,0.00%,SRR1873849,SRR1873849,Engineered:Food production
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR5106331,SRR5106331,Host-associated:Human
bosTau9.fa.gz,0.10%,1.6,0.00%,ERR2241650,ERR2241650,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2592278,ERR2592278,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2592276,ERR2592276,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR1877481,ERR1877481,Engineered:Modeled
bosTau9.fa.gz,0.00%,24.0,0.20%,SRR13122252,SRR13122252,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR5382227,SRR5382227,Host-associated:Mammals
bosTau9.fa.gz,0.00%,3.3,0.00%,ERR2144896,ERR2144896,Host-associated:Plants
bosTau9.fa.gz,0.00%,3.1,0.10%,ERR1868838,ERR1868838,Host-associated:Fish
bosTau9.fa.gz,0.00%,273.1,1.10%,ERR1726914,ERR1726914,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2808654,ERR2808654,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR7664947,SRR7664947,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR5917023,ERR5917023,Host-associated:Mammals
bosTau9.fa.gz,0.30%,2.5,0.30%,SRR6145077,SRR6145077,Host-associated:Human
bosTau9.fa.gz,0.00%,5.7,0.00%,ERR2094171,ERR2094171,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2597427,ERR2597427,Host-associated:Mammals
bosTau9.fa.gz,0.00%,10.5,0.00%,SRR12180951,SRR12180951,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR5382231,SRR5382231,Host-associated:Mammals
bosTau9.fa.gz,0.00%,3.0,0.00%,SRR3989353,SRR3989353,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.3,0.10%,SRR1631704,SRR1631704,Host-associated:Human
bosTau9.fa.gz,0.00%,14.8,0.00%,ERR3589579,ERR3589579,Environmental:Aquatic
bosTau9.fa.gz,0.00%,2.1,0.00%,ERR2592265,ERR2592265,Engineered:Wastewater
bosTau9.fa.gz,0.00%,14.4,0.10%,SRR5788247,SRR5788247,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3989386,SRR3989386,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR589541,ERR589541,Host-associated:Human
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR3961734,SRR3961734,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR1512994,ERR1512994,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR3182025,SRR3182025,Host-associated:Human
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR1512998,ERR1512998,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR3187446,SRR3187446,Host-associated:Human
bosTau9.fa.gz,0.10%,1.6,0.00%,ERR2241793,ERR2241793,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR11267071,SRR11267071,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2607429,ERR2607429,Engineered:Wastewater
bosTau9.fa.gz,0.00%,3.1,0.10%,SRR16350202,SRR16350202,Host-associated:Mammals
bosTau9.fa.gz,0.00%,10.6,0.20%,ERR1864492,ERR1864492,Host-associated:Fish
bosTau9.fa.gz,0.00%,3.2,0.00%,ERR3083899,ERR3083899,Environmental:Aquatic
bosTau9.fa.gz,0.00%,10.6,0.10%,ERR1868842,ERR1868842,Host-associated:Fish
bosTau9.fa.gz,0.00%,2.3,0.00%,SRR13713035,SRR13713035,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR2750096,ERR2750096,Host-associated:Human
bosTau9.fa.gz,0.10%,2.4,0.10%,ERR4398744,ERR4398744,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR414481,ERR414481,Host-associated:Human
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR10695321,ERR10695321,Engineered:Food production
bosTau9.fa.gz,0.00%,20.1,0.00%,ERR594327,ERR594327,Environmental:Aquatic
bosTau9.fa.gz,0.00%,37.5,0.10%,ERR2241639,ERR2241639,Host-associated:Animal
bosTau9.fa.gz,0.00%,4.1,0.10%,ERR3340883,ERR3340883,Host-associated:Birds
bosTau9.fa.gz,0.00%,33.0,0.10%,ERR4869720,ERR4869720,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3211781,SRR3211781,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR4048938,SRR4048938,Environmental:Aquatic
bosTau9.fa.gz,0.00%,14.4,0.00%,SRR9182859,SRR9182859,Host-associated:Invertebrates
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR4702555,ERR4702555,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR2757383,ERR2757383,Host-associated:Human
bosTau9.fa.gz,0.00%,11.1,0.10%,ERR5094870,ERR5094870,Host-associated:Fish
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1632449,SRR1632449,Host-associated:Human
bosTau9.fa.gz,0.10%,4.1,0.10%,SRR19241959,SRR19241959,Host-associated:Mammals
bosTau9.fa.gz,0.00%,23.3,0.30%,SRR12479754,SRR12479754,Environmental:Aquatic
bosTau9.fa.gz,0.00%,2.4,0.00%,SRR5574508,SRR5574508,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1702227,SRR1702227,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1631097,SRR1631097,Host-associated:Human
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR13840100,SRR13840100,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.9,0.00%,SRR2018010,SRR2018010,Engineered:Bioreactor
bosTau9.fa.gz,0.00%,6.0,0.00%,SRR6713630,SRR6713630,Engineered:Solid waste
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR7664943,SRR7664943,Host-associated:Mammals
bosTau9.fa.gz,0.10%,1.5,0.00%,ERR2597356,ERR2597356,Host-associated:Mammals
bosTau9.fa.gz,0.10%,5.4,0.10%,SRR13528212,SRR13528212,Host-associated:Mammals
bosTau9.fa.gz,0.00%,6.3,0.10%,SRR7610121,SRR7610121,Host-associated:Fish
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR15604633,SRR15604633,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.2,0.00%,SRR13256653,SRR13256653,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2607472,ERR2607472,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR2784837,ERR2784837,Host-associated:Human
bosTau9.fa.gz,0.00%,3.7,0.10%,SRR16350244,SRR16350244,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR1631284,SRR1631284,Host-associated:Human
bosTau9.fa.gz,0.00%,3.5,0.00%,SRR10914162,SRR10914162,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5382246,SRR5382246,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1631484,SRR1631484,Host-associated:Human
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR5007354,SRR5007354,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1631494,SRR1631494,Host-associated:Human
bosTau9.fa.gz,0.00%,8.3,0.00%,SRR17188279,SRR17188279,Host-associated:Insecta
bosTau9.fa.gz,0.00%,5.3,0.00%,SRR9109409,SRR9109409,Host-associated:Fish
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR1525434,ERR1525434,Engineered:Wastewater
bosTau9.fa.gz,0.00%,9.2,0.00%,ERR3357626,ERR3357626,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR11267051,SRR11267051,Host-associated:Insecta
bosTau9.fa.gz,0.00%,15.2,0.00%,SRR12181054,SRR12181054,Host-associated:Insecta
bosTau9.fa.gz,0.20%,14.0,0.50%,SRR18439537,SRR18439537,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.4,0.10%,ERR576943,ERR576943,Engineered:Modeled
bosTau9.fa.gz,0.10%,1.7,0.00%,ERR2241656,ERR2241656,Host-associated:Animal
bosTau9.fa.gz,0.00%,8.5,0.00%,SRR12456169,SRR12456169,Host-associated:Fish
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3961742,SRR3961742,Environmental:Aquatic
bosTau9.fa.gz,0.00%,4.3,0.00%,ERR2863824,ERR2863824,Host-associated:Animal
bosTau9.fa.gz,0.10%,2.0,0.40%,SRR1950773,SRR1950773,Host-associated:Human
bosTau9.fa.gz,0.00%,94.8,0.40%,SRR5720293,SRR5720293,Environmental:Aquatic
bosTau9.fa.gz,0.00%,26.3,0.00%,SRR12181012,SRR12181012,Host-associated:Insecta
bosTau9.fa.gz,0.00%,14.8,0.00%,SRR1522964,SRR1522964,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10810038,SRR10810038,Host-associated:Insecta
bosTau9.fa.gz,0.20%,2.0,0.20%,ERR4398786,ERR4398786,Host-associated:Animal
bosTau9.fa.gz,0.00%,2.0,0.00%,ERR2241879,ERR2241879,Host-associated:Animal
bosTau9.fa.gz,0.00%,8.5,0.00%,SRR1202081,SRR1202081,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR13256642,SRR13256642,Host-associated:Insecta
bosTau9.fa.gz,0.00%,13.0,0.00%,SRR12180948,SRR12180948,Host-associated:Insecta
bosTau9.fa.gz,0.00%,3.0,0.00%,ERR2683624,ERR2683624,Environmental:Aquatic
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR3357590,ERR3357590,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR3155588,ERR3155588,Engineered:Solid waste
bosTau9.fa.gz,0.00%,4.2,0.00%,ERR2241904,ERR2241904,Host-associated:Animal
bosTau9.fa.gz,0.00%,9.8,0.00%,SRR9219371,SRR9219371,Host-associated:Invertebrates
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2241770,ERR2241770,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1631039,SRR1631039,Host-associated:Human
bosTau9.fa.gz,1.10%,2.3,0.40%,ERR4398796,ERR4398796,Host-associated:Animal
bosTau9.fa.gz,0.10%,1.7,0.20%,ERR3593583,ERR3593583,Host-associated:Human
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR575691,ERR575691,Engineered:Modeled
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2607431,ERR2607431,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.0,0.00%,DRR046087,DRR046087,Host-associated:Human
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR13256646,SRR13256646,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.0,0.00%,DRR163689,DRR163689,Environmental:Aquatic
bosTau9.fa.gz,0.20%,13.1,0.50%,SRR18439533,SRR18439533,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR18825439,SRR18825439,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR13256638,SRR13256638,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.5,0.10%,SRR3187208,SRR3187208,Host-associated:Human
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1461997,SRR1461997,Host-associated:Human
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1632443,SRR1632443,Host-associated:Human
bosTau9.fa.gz,0.00%,4.2,0.00%,SRR1873864,SRR1873864,Engineered:Food production
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR3187447,SRR3187447,Host-associated:Human
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1761710,SRR1761710,Host-associated:Human
bosTau9.fa.gz,0.00%,10.6,0.20%,ERR2592333,ERR2592333,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.0,0.10%,SRR12272150,SRR12272150,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR1631666,SRR1631666,Host-associated:Human
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2597446,ERR2597446,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR1631318,SRR1631318,Host-associated:Human
bosTau9.fa.gz,0.00%,4.3,0.00%,ERR2241789,ERR2241789,Host-associated:Animal
bosTau9.fa.gz,0.00%,2.7,0.00%,ERR2808664,ERR2808664,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR11267059,SRR11267059,Host-associated:Insecta
